AIRPORT3390,AIRPORT3390,"Liuting Airport","Qingdao","China","TAO","ZSQD"
AIRPORT5569,AIRPORT5569,"Sanday Airport","Sanday","United Kingdom","NDY","EGES"
AIRPORT5568,AIRPORT5568,"Stronsay Airport","Stronsay","United Kingdom","SOY","EGER"
AIRPORT5567,AIRPORT5567,"Papa Westray Airport","Papa Westray","United Kingdom","PPW","EGEP"
AIRPORT5566,AIRPORT5566,"North Ronaldsay Airport","North Ronaldsay","United Kingdom","NRL","EGEN"
AIRPORT5565,AIRPORT5565,"Fair Isle Airport","Fair Isle","United Kingdom","FIE","EGEF"
AIRPORT5564,AIRPORT5564,"Eday Airport","Eday","United Kingdom","EOI","EGED"
AIRPORT5563,AIRPORT5563,"Campbeltown Airport","Campbeltown","United Kingdom","CAL","EGEC"
AIRPORT3389,AIRPORT3389,"Hefei Luogang International Airport","Hefei","China","HFE","ZSOF"
AIRPORT5562,AIRPORT5562,"Robin Hood Doncaster Sheffield Airport","Doncaster Sheffield","United Kingdom","DSA","EGCN"
AIRPORT3388,AIRPORT3388,"Nanjing Lukou Airport","Nanjing","China","NKG","ZSNJ"
AIRPORT5561,AIRPORT5561,"Nottingham Airport","Nottingham","United Kingdom","NQT","EGBN"
AIRPORT3387,AIRPORT3387,"Ningbo Lishe International Airport","Ninbo","China","NGB","ZSNB"
AIRPORT5560,AIRPORT5560,"Seinäjoki Airport","Seinäjoki / Ilmajoki","Finland","SJY","EFSI"
AIRPORT3386,AIRPORT3386,"Hangzhou Xiaoshan International Airport","Hangzhou","China","HGH","ZSHC"
AIRPORT3385,AIRPORT3385,"Fuzhou Changle International Airport","Fuzhou","China","FOC","ZSFZ"
AIRPORT3384,AIRPORT3384,"Nanchang Changbei International Airport","Nanchang","China","KHN","ZSCN"
AIRPORT3383,AIRPORT3383,"Xiamen Gaoqi International Airport","Xiamen","China","XMN","ZSAM"
AIRPORT3382,AIRPORT3382,"Kunming Changshui International Airport","Kunming","China","KMG","ZPPP"
AIRPORT3381,AIRPORT3381,"Xishuangbanna Gasa Airport","Jinghonggasa","China","JHG","ZPJH"
AIRPORT3380,AIRPORT3380,"Chinggis Khaan International Airport","Ulan Bator","Mongolia","ULN","ZMUB"
AIRPORT7738,AIRPORT7738,"Stary Oskol Airport","Stary Oskol","Russia",null,"UUOS"
AIRPORT7732,AIRPORT7732,"Lakeland Linder Regional Airport","Lakeland","United States","LAL","KLAL"
AIRPORT5559,AIRPORT5559,"Helgoland-Düne Airport","Helgoland","Germany","HGL","EDXH"
AIRPORT7731,AIRPORT7731,"La Cerdanya Airport","Das i Fontanals de Cerdanya","Spain",null,"LECD"
AIRPORT5558,AIRPORT5558,"Heide-Büsum Airport","Büsum","Germany","HEI","EDXB"
AIRPORT7730,AIRPORT7730,"Texel Airport","Texel","Netherlands",null,"EHTX"
AIRPORT5557,AIRPORT5557,"Heringsdorf Airport","Heringsdorf","Germany","HDF","EDAH"
AIRPORT5556,AIRPORT5556,"Kumasi Airport","Kumasi","Ghana","KMS","DGSI"
AIRPORT5555,AIRPORT5555,"Guemar Airport","Guemar","Algeria","ELU","DAUO"
AIRPORT5554,AIRPORT5554,"Bordj Badji Mokhtar Airport","Bordj Badji Mokhtar","Algeria","BMW","DATM"
AIRPORT5553,AIRPORT5553,"Béchar Boudghene Ben Ali Lotfi Airport","Béchar","Algeria","CBH","DAOR"
AIRPORT3379,AIRPORT3379,"Xi'an Xianyang International Airport","Xi'an","China","XIY","ZLXY"
AIRPORT5552,AIRPORT5552,"Batna Airport","Batna","Algeria","BLJ","DABT"
AIRPORT3378,AIRPORT3378,"Lanzhou Zhongchuan Airport","Lanzhou","China","LHW","ZLLL"
AIRPORT5551,AIRPORT5551,"Wollaston Lake Airport","Wollaston Lake","Canada","ZWL","CZWL"
AIRPORT3377,AIRPORT3377,"Pyongyang Sunan International Airport","Pyongyang","North Korea","FNJ","ZKPY"
AIRPORT5550,AIRPORT5550,"Churchill Falls Airport","Churchill Falls","Canada","ZUM","CZUM"
AIRPORT3376,AIRPORT3376,"Wuhan Tianhe International Airport","Wuhan","China","WUH","ZHHH"
AIRPORT3375,AIRPORT3375,"Zhengzhou Xinzheng International Airport","Zhengzhou","China","CGO","ZHCC"
AIRPORT3374,AIRPORT3374,"Shenzhen Bao'an International Airport","Shenzhen","China","SZX","ZGSZ"
AIRPORT3373,AIRPORT3373,"Nanning Wuxu Airport","Nanning","China","NNG","ZGNN"
AIRPORT1199,AIRPORT1199,"RAF Akrotiri","Akrotiri","Cyprus","AKT","LCRA"
AIRPORT3372,AIRPORT3372,"Guilin Liangjiang International Airport","Guilin","China","KWL","ZGKL"
AIRPORT1198,AIRPORT1198,"Paphos International Airport","Paphos","Cyprus","PFO","LCPH"
AIRPORT3371,AIRPORT3371,"Changsha Huanghua International Airport","Changcha","China","CSX","ZGHA"
AIRPORT1197,AIRPORT1197,"Larnaca International Airport","Larnaca","Cyprus","LCA","LCLK"
AIRPORT3370,AIRPORT3370,"Guangzhou Baiyun International Airport","Guangzhou","China","CAN","ZGGG"
AIRPORT1196,AIRPORT1196,"Varna Airport","Varna","Bulgaria","VAR","LBWN"
AIRPORT1195,AIRPORT1195,"Stara Zagora Airport","Stara Zagora","Bulgaria",null,"LBSZ"
AIRPORT1194,AIRPORT1194,"Sofia Airport","Sofia","Bulgaria","SOF","LBSF"
AIRPORT1193,AIRPORT1193,"Plovdiv International Airport","Plovdiv","Bulgaria","PDV","LBPD"
AIRPORT9905,AIRPORT9905,"RAAF Base Curtin","Derby","Australia","DCN","YCIN"
AIRPORT1192,AIRPORT1192,"Gorna Oryahovitsa Airport","Gorna Orechovica","Bulgaria","GOZ","LBGO"
AIRPORT9904,AIRPORT9904,"Richmond Airport","Richmond","Australia","RCM","YRMD"
AIRPORT1191,AIRPORT1191,"Burgas Airport","Bourgas","Bulgaria","BOJ","LBBG"
AIRPORT1190,AIRPORT1190,"Tirana International Airport Mother Teresa","Tirana","Albania","TIA","LATI"
AIRPORT9902,AIRPORT9902,"Warrnambool Airport","Warrnambool","Australia","WMB","YWBL"
AIRPORT9901,AIRPORT9901,"Clermont Airport","Clermont","Australia","CMQ","YCMT"
AIRPORT7728,AIRPORT7728,"Hilversum Airport","Hilversum","Netherlands",null,"EHHV"
AIRPORT7727,AIRPORT7727,"Monument Valley Airport","Monument Valley","United States",null,"UT25"
AIRPORT7726,AIRPORT7726,"Linkenheim Airport","Linkenheim","Germany",null,"EDRI"
AIRPORT7725,AIRPORT7725,"Hernesaari Heliport","Helsinki","Finland","HEN","EFHE"
AIRPORT7724,AIRPORT7724,"Tallinn Linnahall Heliport","Tallinn","Estonia",null,"EECL"
AIRPORT7723,AIRPORT7723,"Venice-Lido Airport","Venice","Italy",null,"LIPV"
AIRPORT7722,AIRPORT7722,"London Heliport","London","United Kingdom",null,"EGLW"
AIRPORT5549,AIRPORT5549,"Shamattawa Airport","Shamattawa","Canada","ZTM","CZTM"
AIRPORT7721,AIRPORT7721,"Tulip City Airport","Holland","United States","BIV","KBIV"
AIRPORT5548,AIRPORT5548,"Sandy Lake Airport","Sandy Lake","Canada","ZSJ","CZSJ"
AIRPORT7720,AIRPORT7720,"Big Timber Airport","Big Timber","United States","6S0","K6S0"
AIRPORT5547,AIRPORT5547,"Round Lake (Weagamow Lake) Airport","Round Lake","Canada","ZRJ","CZRJ"
AIRPORT5546,AIRPORT5546,"Sachigo Lake Airport","Sachigo Lake","Canada","ZPB","CZPB"
AIRPORT5545,AIRPORT5545,"Masset Airport","Masset","Canada","ZMT","CZMT"
AIRPORT5544,AIRPORT5544,"Muskrat Dam Airport","Muskrat Dam","Canada","MSA","CZMD"
AIRPORT5543,AIRPORT5543,"Kashechewan Airport","Kashechewan","Canada","ZKE","CZKE"
AIRPORT3369,AIRPORT3369,"Taiyuan Wusu Airport","Taiyuan","China","TYN","ZBYN"
AIRPORT5542,AIRPORT5542,"Swan River Airport","Swan River","Canada","ZJN","CZJN"
AIRPORT3368,AIRPORT3368,"Tianjin Binhai International Airport","Tianjin","China","TSN","ZBTJ"
AIRPORT5541,AIRPORT5541,"Gods River Airport","Gods River","Canada","ZGI","CZGI"
AIRPORT5540,AIRPORT5540,"Fond-Du-Lac Airport","Fond-Du-Lac","Canada","ZFD","CZFD"
AIRPORT3366,AIRPORT3366,"Dongshan Airport","Hailar","China","HLD","ZBLA"
AIRPORT3364,AIRPORT3364,"Beijing Capital International Airport","Beijing","China","PEK","ZBAA"
AIRPORT3363,AIRPORT3363,"Wagga Wagga City Airport","Wagga Wagga","Australia","WGA","YSWG"
AIRPORT1189,AIRPORT1189,"Soroti Airport","Soroti","Uganda","SRT","HUSO"
AIRPORT3362,AIRPORT3362,"Tamworth Airport","Tamworth","Australia","TMW","YSTW"
AIRPORT3361,AIRPORT3361,"Sydney Kingsford Smith International Airport","Sydney","Australia","SYD","YSSY"
AIRPORT1187,AIRPORT1187,"Entebbe International Airport","Entebbe","Uganda","EBB","HUEN"
AIRPORT3360,AIRPORT3360,"RAAF Base Richmond","Richmond","Australia",null,"YSRI"
AIRPORT1186,AIRPORT1186,"Abeid Amani Karume International Airport","Zanzibar","Tanzania","ZNZ","HTZA"
AIRPORT1185,AIRPORT1185,"Tanga Airport","Tanga","Tanzania","TGT","HTTG"
AIRPORT1184,AIRPORT1184,"Pemba Airport","Pemba","Tanzania","PMA","HTPE"
AIRPORT1183,AIRPORT1183,"Mwanza Airport","Mwanza","Tanzania","MWZ","HTMW"
AIRPORT1182,AIRPORT1182,"Mtwara Airport","Mtwara","Tanzania","MYW","HTMT"
AIRPORT1181,AIRPORT1181,"Lake Manyara Airport","Lake Manyara","Tanzania","LKY","HTLM"
AIRPORT1180,AIRPORT1180,"Kilimanjaro International Airport","Kilimanjaro","Tanzania","JRO","HTKJ"
AIRPORT7717,AIRPORT7717,"Mission Field","Livingston-Montana","United States","LVM","KLVM"
AIRPORT7716,AIRPORT7716,"Dell Flight Strip","Dell","United States","4U9","K4U9"
AIRPORT7714,AIRPORT7714,"Brumowski  Air Base","Tulln","Austria",null,"LOXT"
AIRPORT7712,AIRPORT7712,"Cobb County-Mc Collum Field","Atlanta","United States","RYY","KRYY"
AIRPORT5539,AIRPORT5539,"Eastmain River Airport","Eastmain River","Canada","ZEM","CZEM"
AIRPORT7711,AIRPORT7711,"Vaskovo Airport","Arkhangelsk","Russia",null,"ULAH"
AIRPORT5538,AIRPORT5538,"Bathurst Airport","Bathurst","Canada","ZBF","CZBF"
AIRPORT7710,AIRPORT7710,"Mezen Airport","Mezen","Russia",null,"ULAE"
AIRPORT5537,AIRPORT5537,"Ilford Airport","Ilford","Canada","ILF","CZBD"
AIRPORT5536,AIRPORT5536,"York Landing Airport","York Landing","Canada","ZAC","CZAC"
AIRPORT5535,AIRPORT5535,"Salluit Airport","Salluit","Canada","YZG","CYZG"
AIRPORT5534,AIRPORT5534,"Whale Cove Airport","Whale Cove","Canada","YXN","CYXN"
AIRPORT5533,AIRPORT5533,"Webequie Airport","Webequie","Canada","YWP","CYWP"
AIRPORT3359,AIRPORT3359,"Norfolk Island International Airport","Norfolk Island","Norfolk Island","NLK","YSNF"
AIRPORT5532,AIRPORT5532,"Deer Lake Airport","Deer Lake","Canada","YVZ","CYVZ"
AIRPORT3358,AIRPORT3358,"Dubbo City Regional Airport","Dubbo","Australia","DBO","YSDU"
AIRPORT5531,AIRPORT5531,"Big Trout Lake Airport","Big Trout Lake","Canada","YTL","CYTL"
AIRPORT3357,AIRPORT3357,"Camden Airport","Camden","Australia","CDU","YSCN"
AIRPORT5530,AIRPORT5530,"St. Theresa Point Airport","St. Theresa Point","Canada","YST","CYST"
AIRPORT3356,AIRPORT3356,"Coffs Harbour Airport","Coff's Harbour","Australia","CFS","YSCH"
AIRPORT3355,AIRPORT3355,"Canberra International Airport","Canberra","Australia","CBR","YSCB"
AIRPORT3354,AIRPORT3354,"Sydney Bankstown Airport","Sydney","Australia","BWU","YSBK"
AIRPORT3353,AIRPORT3353,"Christmas Island Airport","Christmas Island","Christmas Island","XCH","YPXM"
AIRPORT1179,AIRPORT1179,"Iringa Airport","Iringa","Tanzania","IRI","HTIR"
AIRPORT3352,AIRPORT3352,"Woomera Airfield","Woomera","Australia","UMR","YPWR"
AIRPORT1178,AIRPORT1178,"Dodoma Airport","Dodoma","Tanzania","DOD","HTDO"
AIRPORT3351,AIRPORT3351,"Perth International Airport","Perth","Australia","PER","YPPH"
AIRPORT1177,AIRPORT1177,"Julius Nyerere International Airport","Dar Es Salaam","Tanzania","DAR","HTDA"
AIRPORT3350,AIRPORT3350,"Adelaide Parafield Airport","Adelaide","Australia",null,"YPPF"
AIRPORT1176,AIRPORT1176,"Arusha Airport","Arusha","Tanzania","ARK","HTAR"
AIRPORT1175,AIRPORT1175,"Khartoum International Airport","Khartoum","Sudan","KRT","HSSS"
AIRPORT1174,AIRPORT1174,"Malakal Airport","Malakal","Sudan","MAK","HSSM"
AIRPORT1173,AIRPORT1173,"Juba International Airport","Juba","South Sudan","JUB","HSSJ"
AIRPORT1172,AIRPORT1172,"El Obeid Airport","El Obeid","Sudan","EBD","HSOB"
AIRPORT1171,AIRPORT1171,"Kadugli Airport","Kadugli","Sudan",null,"HSLI"
AIRPORT1170,AIRPORT1170,"Kassala Airport","Kassala","Sudan","KSL","HSKA"
AIRPORT7704,AIRPORT7704,"Geelong Airport","Geelong","Australia","GEX","YGLG"
AIRPORT7703,AIRPORT7703,"Fréjus Airport","Frejus","France","FRJ","LFTU"
AIRPORT7702,AIRPORT7702,"Truckee Tahoe Airport","Truckee","United States","TKF","KTRK"
AIRPORT5529,AIRPORT5529,"Sanikiluaq Airport","Sanikiluaq","Canada","YSK","CYSK"
AIRPORT7701,AIRPORT7701,"Na-San Airport","Son-La","Vietnam","SQH","VVNS"
AIRPORT5528,AIRPORT5528,"Stony Rapids Airport","Stony Rapids","Canada","YSF","CYSF"
AIRPORT7700,AIRPORT7700,"Phan Rang Airport","Phan Rang","Vietnam","PHA","VVPR"
AIRPORT5527,AIRPORT5527,"Red Lake Airport","Red Lake","Canada","YRL","CYRL"
AIRPORT5526,AIRPORT5526,"Rae Lakes Airport","Gamètì","Canada","YRA","CYRA"
AIRPORT5525,AIRPORT5525,"Nakina Airport","Nakina","Canada","YQN","CYQN"
AIRPORT5524,AIRPORT5524,"The Pas Airport","The Pas","Canada","YQD","CYQD"
AIRPORT5523,AIRPORT5523,"Powell River Airport","Powell River","Canada","YPW","CYPW"
AIRPORT3349,AIRPORT3349,"Port Hedland International Airport","Port Hedland","Australia","PHE","YPPD"
AIRPORT5522,AIRPORT5522,"Peawanuck Airport","Peawanuck","Canada","YPO","CYPO"
AIRPORT3348,AIRPORT3348,"Learmonth Airport","Learmonth","Australia","LEA","YPLM"
AIRPORT5521,AIRPORT5521,"Pikangikum Airport","Pikangikum","Canada","YPM","CYPM"
AIRPORT3347,AIRPORT3347,"Kununurra Airport","Kununurra","Australia","KNX","YPKU"
AIRPORT5520,AIRPORT5520,"Inukjuak Airport","Inukjuak","Canada","YPH","CYPH"
AIRPORT3346,AIRPORT3346,"Kalgoorlie Boulder Airport","Kalgoorlie","Australia","KGI","YPKG"
AIRPORT3345,AIRPORT3345,"Karratha Airport","Karratha","Australia","KTA","YPKA"
AIRPORT3344,AIRPORT3344,"Perth Jandakot Airport","Perth","Australia","JAD","YPJT"
AIRPORT3343,AIRPORT3343,"RAAF Base Edinburgh","Edinburgh","Australia",null,"YPED"
AIRPORT1169,AIRPORT1169,"El Fasher Airport","El Fasher","Sudan","ELF","HSFS"
AIRPORT1168,AIRPORT1168,"Damazin Airport","Damazin","Sudan",null,"HSDZ"
AIRPORT3341,AIRPORT3341,"Adelaide International Airport","Adelaide","Australia","ADL","YPAD"
AIRPORT1167,AIRPORT1167,"Dongola Airport","Dongola","Sudan","DOG","HSDN"
AIRPORT3340,AIRPORT3340,"RAAF Williams Point Cook Base","Point Cook","Australia",null,"YMPC"
AIRPORT599,AIRPORT599,"Dublin Airport","Dublin","Ireland","DUB","EIDW"
AIRPORT1166,AIRPORT1166,"Kamembe Airport","Kamembe","Rwanda","KME","HRZA"
AIRPORT1165,AIRPORT1165,"Kigali International Airport","Kigali","Rwanda","KGL","HRYR"
AIRPORT597,AIRPORT597,"Galway Airport","Galway","Ireland","GWY","EICM"
AIRPORT1164,AIRPORT1164,"Gisenyi Airport","Gisenyi","Rwanda","GYI","HRYG"
AIRPORT596,AIRPORT596,"Cork Airport","Cork","Ireland","ORK","EICK"
AIRPORT1163,AIRPORT1163,"Zella 74 Airport","Zella 74","Libya",null,"HLZA"
AIRPORT595,AIRPORT595,"Woensdrecht Air Base","Woensdrecht","Netherlands","WOE","EHWO"
AIRPORT1162,AIRPORT1162,"Ghadames East Airport","Ghadames","Libya","LTD","HLTD"
AIRPORT594,AIRPORT594,"Valkenburg Naval Air Base","Valkenburg","Netherlands","LID","EHVB"
AIRPORT1161,AIRPORT1161,"Dahra Airport","Dahra","Libya",null,"HLRA"
AIRPORT593,AIRPORT593,"Twente Airfield","Enschede","Netherlands","ENS","EHTW"
AIRPORT1160,AIRPORT1160,"Hon Airport","Hon","Libya",null,"HLON"
AIRPORT592,AIRPORT592,"Soesterberg Air Base","Soesterberg","Netherlands","UTC","EHSB"
AIRPORT591,AIRPORT591,"Rotterdam The Hague Airport","Rotterdam","Netherlands","RTM","EHRD"
AIRPORT590,AIRPORT590,"Leeuwarden Air Base","Leeuwarden","Netherlands","LWR","EHLW"
AIRPORT5519,AIRPORT5519,"Oxford House Airport","Oxford House","Canada","YOH","CYOH"
AIRPORT5518,AIRPORT5518,"Points North Landing Airport","Points North Landing","Canada","YNL","CYNL"
AIRPORT5517,AIRPORT5517,"Norway House Airport","Norway House","Canada","YNE","CYNE"
AIRPORT5516,AIRPORT5516,"Wemindji Airport","Wemindji","Canada","YNC","CYNC"
AIRPORT5515,AIRPORT5515,"Umiujaq Airport","Umiujaq","Canada","YUD","CYMU"
AIRPORT5514,AIRPORT5514,"Chapais Airport","Chibougamau","Canada","YMT","CYMT"
AIRPORT5513,AIRPORT5513,"Mary's Harbour Airport","Mary's Harbour","Canada","YMH","CYMH"
AIRPORT3339,AIRPORT3339,"Melbourne International Airport","Melbourne","Australia","MEL","YMML"
AIRPORT5512,AIRPORT5512,"Kangiqsualujjuaq (Georges River) Airport","Kangiqsualujjuaq","Canada","XGR","CYLU"
AIRPORT3338,AIRPORT3338,"Melbourne Moorabbin Airport","Melbourne","Australia","MBW","YMMB"
AIRPORT5511,AIRPORT5511,"St Georges Airport","Lutselk'e","Canada","YSG","CYSG"
AIRPORT3337,AIRPORT3337,"Launceston Airport","Launceston","Australia","LST","YMLT"
AIRPORT5510,AIRPORT5510,"Lansdowne House Airport","Lansdowne House","Canada","YLH","CYLH"
AIRPORT3336,AIRPORT3336,"Hobart International Airport","Hobart","Australia","HBA","YMHB"
AIRPORT3335,AIRPORT3335,"RAAF Base East Sale","East Sale","Australia",null,"YMES"
AIRPORT3334,AIRPORT3334,"Melbourne Essendon Airport","Melbourne","Australia","MEB","YMEN"
AIRPORT3333,AIRPORT3333,"Albury Airport","Albury","Australia","ABX","YMAY"
AIRPORT1159,AIRPORT1159,"Ras Lanuf Oil Airport","Ras Lanouf V 40","Libya",null,"HLNF"
AIRPORT3332,AIRPORT3332,"Avalon Airport","Avalon","Australia","AVV","YMAV"
AIRPORT1158,AIRPORT1158,"Marsa Brega Airport","Marsa Brega","Libya",null,"HLMB"
AIRPORT3331,AIRPORT3331,"Weipa Airport","Weipa","Australia","WEI","YBWP"
AIRPORT1157,AIRPORT1157,"Tripoli International Airport","Tripoli","Libya","TIP","HLLT"
AIRPORT3330,AIRPORT3330,"Townsville Airport","Townsville","Australia","TSV","YBTL"
AIRPORT589,AIRPORT589,"Lelystad Airport","Lelystad","Netherlands","LEY","EHLE"
AIRPORT1156,AIRPORT1156,"Sabha Airport","Sebha","Libya","SEB","HLLS"
AIRPORT588,AIRPORT588,"De Kooy Airport","De Kooy","Netherlands","DHR","EHKD"
AIRPORT587,AIRPORT587,"Gilze Rijen Air Base","Gilze-rijen","Netherlands",null,"EHGR"
AIRPORT1154,AIRPORT1154,"Benina International Airport","Benghazi","Libya","BEN","HLLB"
AIRPORT586,AIRPORT586,"Eelde Airport","Groningen","Netherlands","GRQ","EHGG"
AIRPORT1153,AIRPORT1153,"Kufra Airport","Kufra","Libya","AKF","HLKF"
AIRPORT585,AIRPORT585,"Eindhoven Airport","Eindhoven","Netherlands","EIN","EHEH"
AIRPORT1152,AIRPORT1152,"Ghat Airport","Ghat","Libya","GHT","HLGT"
AIRPORT584,AIRPORT584,"Drachten Airport","Drachten","Netherlands",null,"EHDR"
AIRPORT1151,AIRPORT1151,"Warehouse 59e Airport","Giallo","Libya",null,"HLGL"
AIRPORT583,AIRPORT583,"Deelen Air Base","Deelen","Netherlands",null,"EHDL"
AIRPORT1150,AIRPORT1150,"Bu Attifel Airport","Buattifel","Libya",null,"HLFL"
AIRPORT582,AIRPORT582,"Maastricht Aachen Airport","Maastricht","Netherlands","MST","EHBK"
AIRPORT581,AIRPORT581,"Budel Airport","Weert","Netherlands",null,"EHBD"
AIRPORT580,AIRPORT580,"Amsterdam Airport Schiphol","Amsterdam","Netherlands","AMS","EHAM"
AIRPORT5509,AIRPORT5509,"Kimmirut Airport","Kimmirut","Canada","YLC","CYLC"
AIRPORT5508,AIRPORT5508,"Aupaluk Airport","Aupaluk","Canada","YPJ","CYLA"
AIRPORT5507,AIRPORT5507,"Waskaganish Airport","Waskaganish","Canada","YKQ","CYKQ"
AIRPORT5506,AIRPORT5506,"Akulivik Airport","Akulivik","Canada","AKV","CYKO"
AIRPORT5505,AIRPORT5505,"Island Lake Airport","Island Lake","Canada","YIV","CYIV"
AIRPORT5504,AIRPORT5504,"Ivujivik Airport","Ivujivik","Canada","YIK","CYIK"
AIRPORT5503,AIRPORT5503,"Chevery Airport","Chevery","Canada","YHR","CYHR"
AIRPORT3329,AIRPORT3329,"Rockhampton Airport","Rockhampton","Australia","ROK","YBRK"
AIRPORT5502,AIRPORT5502,"Hopedale Airport","Hopedale","Canada","YHO","CYHO"
AIRPORT3328,AIRPORT3328,"Proserpine Whitsunday Coast Airport","Prosserpine","Australia","PPP","YBPN"
AIRPORT5501,AIRPORT5501,"Nemiscau Airport","Nemiscau","Canada","YNS","CYHH"
AIRPORT5500,AIRPORT5500,"Vancouver Harbour Water Aerodrome","Vancouver","Canada","CXH","CYHC"
AIRPORT3326,AIRPORT3326,"Mackay Airport","Mackay","Australia","MKY","YBMK"
AIRPORT3325,AIRPORT3325,"Sunshine Coast Airport","Maroochydore","Australia","MCY","YBMC"
AIRPORT3324,AIRPORT3324,"Mount Isa Airport","Mount Isa","Australia","ISA","YBMA"
AIRPORT3323,AIRPORT3323,"Charleville Airport","Charlieville","Australia","CTL","YBCV"
AIRPORT1149,AIRPORT1149,"Wajir Airport","Wajir","Kenya","WJR","HKWJ"
AIRPORT3322,AIRPORT3322,"Cairns International Airport","Cairns","Australia","CNS","YBCS"
AIRPORT1148,AIRPORT1148,"Moi Air Base","Nairobi","Kenya",null,"HKRE"
AIRPORT3321,AIRPORT3321,"Gold Coast Airport","Coolangatta","Australia","OOL","YBCG"
AIRPORT1147,AIRPORT1147,"Nairobi Wilson Airport","Nairobi","Kenya","WIL","HKNW"
AIRPORT3320,AIRPORT3320,"Brisbane International Airport","Brisbane","Australia","BNE","YBBN"
AIRPORT579,AIRPORT579,"Mount Pleasant Airport","Mount Pleasant","Falkland Islands","MPN","EGYP"
AIRPORT1146,AIRPORT1146,"Naivasha Airport","Naivasha","Kenya",null,"HKNV"
AIRPORT578,AIRPORT578,"RAF Marham","Marham","United Kingdom","KNF","EGYM"
AIRPORT1145,AIRPORT1145,"Mombasa Moi International Airport","Mombasa","Kenya","MBA","HKMO"
AIRPORT577,AIRPORT577,"RAF Barkston Heath","Barkston Heath","United Kingdom",null,"EGYE"
AIRPORT1144,AIRPORT1144,"Manda Airstrip","Lamu","Kenya","LAU","HKLU"
AIRPORT576,AIRPORT576,"RAF Cranwell","Cranwell","United Kingdom",null,"EGYD"
AIRPORT1143,AIRPORT1143,"Lodwar Airport","Lodwar","Kenya","LOK","HKLO"
AIRPORT575,AIRPORT575,"RAF Topcliffe","Topcliffe","United Kingdom",null,"EGXZ"
AIRPORT574,AIRPORT574,"RAF Waddington","Waddington","United Kingdom","WTN","EGXW"
AIRPORT1141,AIRPORT1141,"Kitale Airport","Kitale","Kenya","KTL","HKKT"
AIRPORT573,AIRPORT573,"RAF Linton-On-Ouse","Linton-on-ouse","United Kingdom","HRT","EGXU"
AIRPORT1140,AIRPORT1140,"Kisumu Airport","Kisumu","Kenya","KIS","HKKI"
AIRPORT572,AIRPORT572,"RAF Wittering","Wittering","United Kingdom",null,"EGXT"
AIRPORT571,AIRPORT571,"RAF Scampton","Scampton","United Kingdom",null,"EGXP"
AIRPORT570,AIRPORT570,"RAF Cottesmore","Cottesmore","United Kingdom",null,"EGXJ"
AIRPORT10618,AIRPORT10618,"Borroloola Airport","Borroloola","Australia","BOX","YBRL"
AIRPORT10617,AIRPORT10617,"Ota Air Base","Ota","Portugal",null,"LPOT"
AIRPORT10611,AIRPORT10611,"Ali Air Base","Nasiriyah","Iraq",null,"ORTL"
AIRPORT3319,AIRPORT3319,"Alice Springs Airport","Alice Springs","Australia","ASP","YBAS"
AIRPORT3318,AIRPORT3318,"Northern Peninsula Airport","Amberley","Australia","ABM","YBAM"
AIRPORT3317,AIRPORT3317,"Brisbane Archerfield Airport","Brisbane","Australia",null,"YBAF"
AIRPORT3316,AIRPORT3316,"Singapore Changi Airport","Singapore","Singapore","SIN","WSSS"
AIRPORT3315,AIRPORT3315,"Seletar Airport","Singapore","Singapore","XSP","WSSL"
AIRPORT3314,AIRPORT3314,"Tengah Air Base","Tengah","Singapore",null,"WSAT"
AIRPORT3313,AIRPORT3313,"Paya Lebar Air Base","Paya Lebar","Singapore","QPG","WSAP"
AIRPORT1139,AIRPORT1139,"Kakamega Airport","Kakamega","Kenya",null,"HKKG"
AIRPORT3312,AIRPORT3312,"Sembawang Air Base","Sembawang","Singapore",null,"WSAG"
AIRPORT1138,AIRPORT1138,"Eldoret International Airport","Eldoret","Kenya","EDL","HKEL"
AIRPORT3311,AIRPORT3311,"Cakung Airport","Baucau","East Timor",null,"WPEC"
AIRPORT1137,AIRPORT1137,"El Tor Airport","El-tor","Egypt","ELT","HETR"
AIRPORT3310,AIRPORT3310,"Presidente Nicolau Lobato International Airport","Dili","East Timor","DIL","WPDL"
AIRPORT569,AIRPORT569,"RAF Honington","Honington","United Kingdom","BEQ","EGXH"
AIRPORT1136,AIRPORT1136,"Aswan International Airport","Aswan","Egypt","ASW","HESN"
AIRPORT568,AIRPORT568,"Leeds East Airport","Church Fenton","United Kingdom",null,"EGXG"
AIRPORT1135,AIRPORT1135,"St Catherine International Airport","St. Catherine","Egypt","SKV","HESC"
AIRPORT567,AIRPORT567,"Leeming Airport","Leeming","United Kingdom",null,"EGXE"
AIRPORT1134,AIRPORT1134,"Port Said Airport","Port Said","Egypt","PSD","HEPS"
AIRPORT566,AIRPORT566,"RAF Dishforth","Dishforth","United Kingdom",null,"EGXD"
AIRPORT1133,AIRPORT1133,"Mersa Matruh Airport","Mersa-matruh","Egypt","MUH","HEMM"
AIRPORT565,AIRPORT565,"RAF Coningsby","Coningsby","United Kingdom","QCY","EGXC"
AIRPORT1132,AIRPORT1132,"Luxor International Airport","Luxor","Egypt","LXR","HELX"
AIRPORT564,AIRPORT564,"RAF Northolt","Northolt","United Kingdom","NHT","EGWU"
AIRPORT1131,AIRPORT1131,"El Gora Airport","El Gorah","Egypt","EGR","HEGR"
